	Parameter	t0	Pt	q0	Pq0	q1	Pq1	q2	Pq2
	 928	754878   	0.1086   	943598   	0.0001491	943598   	0.009494 	2e+09    	0.00000500
	 929	755691   	0.1138   	944614   	0.0001491	944614   	0.009493 	2e+09    	0.00000500
	 930	756504   	0.1129   	945630   	0.0001491	945630   	0.009493 	2e+09    	0.00000500
	 931	757317   	0.1111   	946646   	0.0001491	946646   	0.009492 	2e+09    	0.00000500
	 932	758130   	0.1120   	947663   	0.0001491	947663   	0.009492 	2e+09    	0.00000500
	 933	758943   	0.1103   	948679   	0.0001490	948679   	0.009491 	2e+09    	0.00000500
	 934	759756   	0.1105   	949695   	0.0001490	949695   	0.009491 	2e+09    	0.00000500
	 935	760569   	0.1130   	950711   	0.0001490	950711   	0.009490 	2e+09    	0.00000500
	 936	761382   	0.1076   	951728   	0.0001490	951728   	0.009490 	2e+09    	0.00000500
	 937	762195   	0.1148   	952744   	0.0001490	952744   	0.009489 	2e+09    	0.00000500
	 938	763008   	0.1142   	953760   	0.0001490	953760   	0.009489 	2e+09    	0.00000500
	 939	763821   	0.1155   	954776   	0.0001490	954776   	0.009488 	2e+09    	0.00000500
	 940	764634   	0.1163   	955793   	0.0001489	955793   	0.009488 	2e+09    	0.00000500
	 941	765447   	0.1139   	956809   	0.0001489	956809   	0.009488 	2e+09    	0.00000500
	 942	766260   	0.1155   	957825   	0.0001489	957825   	0.009487 	2e+09    	0.00000500
	 943	767073   	0.1097   	958841   	0.0001489	958841   	0.009487 	2e+09    	0.00000500
	 944	767886   	0.1153   	959858   	0.0001489	959858   	0.009486 	2e+09    	0.00000500
	 945	768699   	0.1134   	960874   	0.0001489	960874   	0.009486 	2e+09    	0.00000500
	 946	769512   	0.1141   	961890   	0.0001488	961890   	0.009485 	2e+09    	0.00000500
	 947	770325   	0.1118   	962907   	0.0001488	962907   	0.009485 	2e+09    	0.00000500
	 948	771138   	0.1114   	963923   	0.0001488	963923   	0.009484 	2e+09    	0.00000500
	 949	771951   	0.1122   	964939   	0.0001488	964939   	0.009484 	2e+09    	0.00000500
	 950	772764   	0.1128   	965955   	0.0001488	965955   	0.009483 	2e+09    	0.00000500
	 951	773577   	0.1103   	966972   	0.0001488	966972   	0.009483 	2e+09    	0.00000500
	 952	774390   	0.1128   	967988   	0.0001487	967988   	0.009482 	2e+09    	0.00000500
	 953	775203   	0.1075   	969004   	0.0001487	969004   	0.009482 	2e+09    	0.00000500
	 954	776016   	0.1120   	970020   	0.0001487	970020   	0.009481 	2e+09    	0.00000500
	 955	776829   	0.1100   	971037   	0.0001487	971037   	0.009481 	2e+09    	0.00000500
	 956	777642   	0.1128   	972053   	0.0001487	972053   	0.009481 	2e+09    	0.00000500
	 957	778455   	0.1158   	973069   	0.0001487	973069   	0.009480 	2e+09    	0.00000500
	 958	779268   	0.1110   	974085   	0.0001486	974085   	0.009480 	2e+09    	0.00000500
	 959	780081   	0.1130   	975102   	0.0001486	975102   	0.009479 	2e+09    	0.00000500
	 960	780894   	0.1122   	976118   	0.0001486	976118   	0.009479 	2e+09    	0.00000500
	 961	781707   	0.1140   	977134   	0.0001486	977134   	0.009478 	2e+09    	0.00000500
	 962	782520   	0.1091   	978150   	0.0001486	978150   	0.009478 	2e+09    	0.00000500
	 963	783333   	0.1139   	979167   	0.0001486	979167   	0.009477 	2e+09    	0.00000500
	 964	784146   	0.1144   	980183   	0.0001486	980183   	0.009477 	2e+09    	0.00000500
	 965	784959   	0.1111   	981199   	0.0001485	981199   	0.009476 	2e+09    	0.00000500
	 966	785772   	0.1153   	982215   	0.0001485	982215   	0.009476 	2e+09    	0.00000500
	 967	786585   	0.1145   	983232   	0.0001485	983232   	0.009476 	2e+09    	0.00000500
	 968	787398   	0.1150   	984248   	0.0001485	984248   	0.009475 	2e+09    	0.00000500
	 969	788211   	0.1129   	985264   	0.0001485	985264   	0.009475 	2e+09    	0.00000500
	 970	789024   	0.1153   	986280   	0.0001485	986280   	0.009474 	2e+09    	0.00000500
	 971	789837   	0.1097   	987297   	0.0001484	987297   	0.009474 	2e+09    	0.00000500
	 972	790650   	0.1126   	988313   	0.0001484	988313   	0.009473 	2e+09    	0.00000500
	 973	791463   	0.1096   	989329   	0.0001484	989329   	0.009473 	2e+09    	0.00000500
	 974	792276   	0.1125   	990346   	0.0001484	990346   	0.009473 	2e+09    	0.00000500
	 975	793089   	0.1124   	991362   	0.0001484	991362   	0.009472 	2e+09    	0.00000500
	 976	793902   	0.1142   	992378   	0.0001484	992378   	0.009472 	2e+09    	0.00000500
	 977	794715   	0.1137   	993394   	0.0001484	993394   	0.009471 	2e+09    	0.00000500
	 978	795528   	0.1130   	994411   	0.0001483	994411   	0.009471 	2e+09    	0.00000500
	 979	796341   	0.1136   	995427   	0.0001483	995427   	0.009470 	2e+09    	0.00000500
	 980	797154   	0.1160   	996443   	0.0001483	996443   	0.009470 	2e+09    	0.00000500
	 981	797967   	0.1110   	997459   	0.0001483	997459   	0.009469 	2e+09    	0.00000500
	 982	798780   	0.1125   	998476   	0.0001483	998476   	0.009469 	2e+09    	0.00000500
	 983	799593   	0.1121   	999492   	0.0001483	999492   	0.009469 	2e+09    	0.00000500
	 984	800407   	0.1104   	1000508  	0.0001483	1000508  	0.009468 	2e+09    	0.00000500
	 985	801220   	0.1137   	1001524  	0.0001482	1001524  	0.009468 	2e+09    	0.00000500
	 986	802033   	0.1129   	1002541  	0.0001482	1002541  	0.009467 	2e+09    	0.00000500
	 987	802846   	0.1111   	1003557  	0.0001482	1003557  	0.009467 	2e+09    	0.00000500
	 988	803659   	0.1110   	1004573  	0.0001482	1004573  	0.009467 	2e+09    	0.00000500
	 989	804472   	0.1145   	1005589  	0.0001482	1005589  	0.009466 	2e+09    	0.00000500
	 990	805285   	0.1106   	1006606  	0.0001482	1006606  	0.009466 	2e+09    	0.00000500
	 991	806098   	0.1126   	1007622  	0.0001482	1007622  	0.009465 	2e+09    	0.00000500
	 992	806911   	0.1168   	1008638  	0.0001481	1008638  	0.009465 	2e+09    	0.00000500
	 993	807724   	0.1128   	1009654  	0.0001481	1009654  	0.009464 	2e+09    	0.00000500
	 994	808537   	0.1126   	1010671  	0.0001481	1010671  	0.009464 	2e+09    	0.00000500
	 995	809350   	0.1091   	1011687  	0.0001481	1011687  	0.009464 	2e+09    	0.00000500
	 996	810163   	0.1149   	1012703  	0.0001481	1012703  	0.009463 	2e+09    	0.00000500
	 997	810976   	0.1104   	1013720  	0.0001481	1013720  	0.009463 	2e+09    	0.00000500
	 998	811789   	0.1108   	1014736  	0.0001481	1014736  	0.009462 	2e+09    	0.00000500
	 999	812602   	0.1137   	1015752  	0.0001480	1015752  	0.009462 	2e+09    	0.00000500
