	Parameter	t0	Pt	q0	Pq0	q1	Pq1	q2	Pq2
	  71	58130    	0.02743  	72663    	0.006154 	72663    	0.01123  	145325203	0.00000500
	  72	58943    	0.02783  	73679    	0.005824 	73679    	0.01126  	147357724	0.00000500
	  73	59756    	0.02957  	74695    	0.005515 	74695    	0.01129  	149390244	0.00000500
	  74	60569    	0.03060  	75711    	0.005225 	75711    	0.01132  	151422764	0.00000500
	  75	61382    	0.03133  	76728    	0.004952 	76728    	0.01135  	153455285	0.00000500
	  76	62195    	0.03003  	77744    	0.004696 	77744    	0.01138  	155487805	0.00000500
	  77	63008    	0.03233  	78760    	0.004455 	78760    	0.01140  	157520325	0.00000500
	  78	63821    	0.03537  	79776    	0.004228 	79776    	0.01143  	159552846	0.00000500
	  79	64634    	0.03570  	80793    	0.004014 	80793    	0.01145  	161585366	0.00000500
	  80	65447    	0.03587  	81809    	0.003813 	81809    	0.01147  	163617886	0.00000500
	  81	66260    	0.03720  	82825    	0.003624 	82825    	0.01149  	165650407	0.00000500
	  82	67073    	0.03727  	83841    	0.003445 	83841    	0.01151  	167682927	0.00000500
	  83	67886    	0.04077  	84858    	0.003276 	84858    	0.01153  	169715447	0.00000500
	  84	68699    	0.03853  	85874    	0.003117 	85874    	0.01155  	171747967	0.00000500
	  85	69512    	0.04127  	86890    	0.002967 	86890    	0.01157  	173780488	0.00000500
	  86	70325    	0.04200  	87907    	0.002826 	87907    	0.01158  	175813008	0.00000500
	  87	71138    	0.04303  	88923    	0.002692 	88923    	0.01160  	177845528	0.00000500
	  88	71951    	0.04517  	89939    	0.002565 	89939    	0.01161  	179878049	0.00000500
	  89	72764    	0.04310  	90955    	0.002445 	90955    	0.01162  	181910569	0.00000500
	  90	73577    	0.04533  	91972    	0.002332 	91972    	0.01163  	183943089	0.00000500
	  91	74390    	0.04847  	92988    	0.002225 	92988    	0.01165  	185975610	0.00000500
	  92	75203    	0.04723  	94004    	0.002124 	94004    	0.01166  	188008130	0.00000500
	  93	76016    	0.04910  	95020    	0.002028 	95020    	0.01166  	190040650	0.00000500
	  94	76829    	0.04940  	96037    	0.001937 	96037    	0.01167  	192073171	0.00000500
	  95	77642    	0.05007  	97053    	0.001851 	97053    	0.01168  	194105691	0.00000500
	  96	78455    	0.05310  	98069    	0.001770 	98069    	0.01169  	196138211	0.00000500
	  97	79268    	0.05323  	99085    	0.001693 	99085    	0.01169  	198170732	0.00000500
	  98	80081    	0.05263  	100102   	0.001620 	100102   	0.01170  	200203252	0.00000500
	  99	80894    	0.05510  	101118   	0.001551 	101118   	0.01170  	202235772	0.00000500
	 100	81707    	0.05470  	102134   	0.001485 	102134   	0.01171  	204268293	0.00000500
	 101	82520    	0.05493  	103150   	0.001423 	103150   	0.01171  	206300813	0.00000500
	 102	83333    	0.05850  	104167   	0.001364 	104167   	0.01171  	208333333	0.00000500
	 103	84146    	0.05803  	105183   	0.001308 	105183   	0.01172  	210365854	0.00000500
	 104	84959    	0.05923  	106199   	0.001255 	106199   	0.01172  	212398374	0.00000500
	 105	85772    	0.05883  	107215   	0.001205 	107215   	0.01172  	214430894	0.00000500
	 106	86585    	0.06100  	108232   	0.001158 	108232   	0.01172  	216463415	0.00000500
	 107	87398    	0.06130  	109248   	0.001112 	109248   	0.01172  	218495935	0.00000500
	 108	88211    	0.06410  	110264   	0.001069 	110264   	0.01172  	220528455	0.00000500
	 109	89024    	0.06447  	111280   	0.001029 	111280   	0.01172  	222560976	0.00000500
	 110	89837    	0.06443  	112297   	0.0009900	112297   	0.01172  	224593496	0.00000500
	 111	90650    	0.06850  	113313   	0.0009533	113313   	0.01171  	226626016	0.00000500
	 112	91463    	0.06920  	114329   	0.0009185	114329   	0.01171  	228658537	0.00000500
	 113	92276    	0.06630  	115346   	0.0008854	115346   	0.01171  	230691057	0.00000500
	 114	93089    	0.06997  	116362   	0.0008540	116362   	0.01171  	232723577	0.00000500
	 115	93902    	0.06800  	117378   	0.0008241	117378   	0.01170  	234756098	0.00000500
	 116	94715    	0.06763  	118394   	0.0007957	118394   	0.01170  	236788618	0.00000500
	 117	95528    	0.07030  	119411   	0.0007688	119411   	0.01170  	238821138	0.00000500
	 118	96341    	0.07017  	120427   	0.0007432	120427   	0.01169  	240853659	0.00000500
	 119	97154    	0.06940  	121443   	0.0007188	121443   	0.01169  	242886179	0.00000500
	 120	97967    	0.07223  	122459   	0.0006957	122459   	0.01169  	244918699	0.00000500
	 121	98780    	0.07283  	123476   	0.0006737	123476   	0.01168  	246951220	0.00000500
	 122	99593    	0.07090  	124492   	0.0006527	124492   	0.01168  	248983740	0.00000500
	 123	100407   	0.07163  	125508   	0.0006328	125508   	0.01167  	251016260	0.00000500
	 124	101220   	0.07730  	126524   	0.0006139	126524   	0.01167  	253048780	0.00000500
	 125	102033   	0.07750  	127541   	0.0005959	127541   	0.01166  	255081301	0.00000500
	 126	102846   	0.07517  	128557   	0.0005788	128557   	0.01165  	257113821	0.00000500
	 127	103659   	0.07680  	129573   	0.0005624	129573   	0.01165  	259146341	0.00000500
	 128	104472   	0.07997  	130589   	0.0005469	130589   	0.01164  	261178862	0.00000500
	 129	105285   	0.07973  	131606   	0.0005322	131606   	0.01164  	263211382	0.00000500
	 130	106098   	0.07830  	132622   	0.0005181	132622   	0.01163  	265243902	0.00000500
	 131	106911   	0.07943  	133638   	0.0005047	133638   	0.01162  	267276423	0.00000500
	 132	107724   	0.07890  	134654   	0.0004919	134654   	0.01162  	269308943	0.00000500
