Parameter,t0,Pt,q0,Pq0,q1,Pq1,q2,Pq2
79,64634,0.268,24238,0.09781,807927,0.0009193,161585366,0.00000655
80,65447,0.272,24543,0.09529,818089,0.0009233,163617886,0.0000066
81,66260,0.29,24848,0.09284,828252,0.0009271,165650407,0.00000666
82,67073,0.262,25152,0.09045,838415,0.0009308,167682927,0.00000671
83,67886,0.3085,25457,0.08812,848577,0.0009345,169715447,0.00000676
84,68699,0.2925,25762,0.08586,858740,0.0009381,171747967,0.00000681
85,69512,0.3005,26067,0.08366,868902,0.0009415,173780488,0.00000685
86,70325,0.305,26372,0.08151,879065,0.0009449,175813008,0.0000069
87,71138,0.298,26677,0.07942,889228,0.0009482,177845528,0.00000694
88,71951,0.318,26982,0.07738,899390,0.0009515,179878049,0.00000699
89,72764,0.325,27287,0.0754,909553,0.0009546,181910569,0.00000703
90,73577,0.3255,27591,0.07346,919715,0.0009577,183943089,0.00000707
91,74390,0.3245,27896,0.07158,929878,0.0009607,185975610,0.00000711
92,75203,0.3385,28201,0.06974,940041,0.0009637,188008130,0.00000715
93,76016,0.352,28506,0.06795,950203,0.0009665,190040650,0.00000718
94,76829,0.319,28811,0.0662,960366,0.0009693,192073171,0.00000722
95,77642,0.3355,29116,0.0645,970528,0.000972,194105691,0.00000725
96,78455,0.354,29421,0.06285,980691,0.0009747,196138211,0.00000729
97,79268,0.3565,29726,0.06123,990854,0.0009773,198170732,0.00000732
98,80081,0.358,30030,0.05965,1001016,0.0009798,200203252,0.00000735
99,80894,0.3315,30335,0.05812,1011179,0.0009823,202235772,0.00000738
100,81707,0.326,30640,0.05662,1021341,0.0009847,204268293,0.00000741
101,82520,0.36,30945,0.05516,1031504,0.0009871,206300813,0.00000744
102,83333,0.397,31250,0.05374,1041667,0.0009894,208333333,0.00000747
103,84146,0.357,31555,0.05236,1051829,0.0009916,210365854,0.00000749
104,84959,0.3615,31860,0.05101,1061992,0.0009938,212398374,0.00000752
105,85772,0.373,32165,0.04969,1072154,0.0009959,214430894,0.00000754
106,86585,0.373,32470,0.04841,1082317,0.000998,216463415,0.00000757
107,87398,0.391,32774,0.04716,1092480,0.001,218495935,0.00000759
108,88211,0.3745,33079,0.04594,1102642,0.001002,220528455,0.00000761
109,89024,0.374,33384,0.04476,1112805,0.001004,222560976,0.00000763
110,89837,0.3915,33689,0.0436,1122967,0.001006,224593496,0.00000765
111,90650,0.381,33994,0.04248,1133130,0.001008,226626016,0.00000767
112,91463,0.3925,34299,0.04138,1143293,0.001009,228658537,0.00000769
113,92276,0.3685,34604,0.04031,1153455,0.001011,230691057,0.00000771
114,93089,0.3855,34909,0.03927,1163618,0.001013,232723577,0.00000773
115,93902,0.3825,35213,0.03825,1173780,0.001015,234756098,0.00000775
116,94715,0.4015,35518,0.03726,1183943,0.001016,236788618,0.00000776
117,95528,0.373,35823,0.0363,1194106,0.001018,238821138,0.00000778
118,96341,0.37,36128,0.03536,1204268,0.001019,240853659,0.00000779
119,97154,0.3965,36433,0.03445,1214431,0.001021,242886179,0.00000781
120,97967,0.379,36738,0.03356,1224593,0.001022,244918699,0.00000782
121,98780,0.3895,37043,0.0327,1234756,0.001024,246951220,0.00000783
122,99593,0.3875,37348,0.03185,1244919,0.001025,248983740,0.00000784
123,100407,0.3845,37652,0.03103,1255081,0.001026,251016260,0.00000786
124,101220,0.4085,37957,0.03023,1265244,0.001028,253048780,0.00000787
125,102033,0.408,38262,0.02946,1275407,0.001029,255081301,0.00000788
126,102846,0.392,38567,0.0287,1285569,0.00103,257113821,0.00000789
127,103659,0.3705,38872,0.02797,1295732,0.001032,259146341,0.0000079
128,104472,0.389,39177,0.02725,1305894,0.001033,261178862,0.00000791
129,105285,0.3745,39482,0.02656,1316057,0.001034,263211382,0.00000792
130,106098,0.3895,39787,0.02588,1326220,0.001035,265243902,0.00000792
131,106911,0.398,40091,0.02522,1336382,0.001036,267276423,0.00000793
132,107724,0.3935,40396,0.02458,1346545,0.001037,269308943,0.00000794
133,108537,0.4055,40701,0.02396,1356707,0.001038,271341463,0.00000795
134,109350,0.416,41006,0.02336,1366870,0.001039,273373984,0.00000795
135,110163,0.387,41311,0.02277,1377033,0.00104,275406504,0.00000796
136,110976,0.4,41616,0.0222,1387195,0.001041,277439024,0.00000796
137,111789,0.4035,41921,0.02165,1397358,0.001042,279471545,0.00000797
138,112602,0.3965,42226,0.02111,1407520,0.001043,281504065,0.00000797
139,113415,0.3915,42530,0.02059,1417683,0.001044,283536585,0.00000798
140,114228,0.3985,42835,0.02008,1427846,0.001045,285569106,0.00000798
141,115041,0.381,43140,0.01958,1438008,0.001046,287601626,0.00000798
142,115854,0.3955,43445,0.0191,1448171,0.001046,289634146,0.00000799
143,116667,0.4075,43750,0.01864,1458333,0.001047,291666667,0.00000799
144,117480,0.3795,44055,0.01818,1468496,0.001048,293699187,0.00000799
145,118293,0.386,44360,0.01774,1478659,0.001049,295731707,0.00000799
146,119106,0.4135,44665,0.01731,1488821,0.001049,297764228,0.000008
147,119919,0.3775,44970,0.01689,1498984,0.00105,299796748,0.000008
148,120732,0.404,45274,0.01649,1509146,0.001051,301829268,0.000008
149,121545,0.4055,45579,0.01609,1519309,0.001051,303861789,0.000008
150,122358,0.4095,45884,0.01571,1529472,0.001052,305894309,0.000008
151,123171,0.384,46189,0.01533,1539634,0.001053,307926829,0.000008
152,123984,0.3835,46494,0.01497,1549797,0.001053,309959350,0.000008
153,124797,0.395,46799,0.01461,1559959,0.001054,311991870,0.000008
154,125610,0.399,47104,0.01427,1570122,0.001055,314024390,0.000008
155,126423,0.3815,47409,0.01393,1580285,0.001055,316056911,0.000008
156,127236,0.4015,47713,0.0136,1590447,0.001056,318089431,0.000008
157,128049,0.405,48018,0.01328,1600610,0.001056,320121951,0.00000799
158,128862,0.389,48323,0.01297,1610772,0.001057,322154472,0.00000799
159,129675,0.393,48628,0.01267,1620935,0.001057,324186992,0.00000799
160,130488,0.408,48933,0.01237,1631098,0.001058,326219512,0.00000799
161,131301,0.39,49238,0.01208,1641260,0.001058,328252033,0.00000798
162,132114,0.4055,49543,0.0118,1651423,0.001059,330284553,0.00000798
163,132927,0.382,49848,0.01152,1661585,0.001059,332317073,0.00000798
164,133740,0.4035,50152,0.01125,1671748,0.001059,334349593,0.00000798
165,134553,0.4065,50457,0.01099,1681911,0.00106,336382114,0.00000797
166,135366,0.4205,50762,0.01073,1692073,0.00106,338414634,0.00000797
167,136179,0.424,51067,0.01048,1702236,0.001061,340447154,0.00000797
168,136992,0.372,51372,0.01024,1712398,0.001061,342479675,0.00000796
169,137805,0.402,51677,0.01,1722561,0.001061,344512195,0.00000796
170,138618,0.4065,51982,0.009768,1732724,0.001062,346544715,0.00000795
171,139431,0.403,52287,0.00954,1742886,0.001062,348577236,0.00000795
172,140244,0.415,52591,0.009317,1753049,0.001062,350609756,0.00000794
173,141057,0.3805,52896,0.009099,1763211,0.001062,352642276,0.00000794
174,141870,0.417,53201,0.008887,1773374,0.001063,354674797,0.00000793
175,142683,0.3865,53506,0.008679,1783537,0.001063,356707317,0.00000793
176,143496,0.417,53811,0.008477,1793699,0.001063,358739837,0.00000792
177,144309,0.391,54116,0.008279,1803862,0.001064,360772358,0.00000792
178,145122,0.4035,54421,0.008085,1814024,0.001064,362804878,0.00000791
179,145935,0.418,54726,0.007896,1824187,0.001064,364837398,0.00000791
180,146748,0.388,55030,0.007712,1834350,0.001064,366869919,0.0000079
181,147561,0.395,55335,0.007531,1844512,0.001064,368902439,0.00000789
182,148374,0.445,55640,0.007356,1854675,0.001065,370934959,0.00000789
183,149187,0.3945,55945,0.007184,1864837,0.001065,372967480,0.00000788
184,150000,0.4085,56250,0.007016,1875000,0.001065,375000000,0.00000787
185,150813,0.418,56555,0.006852,1885163,0.001065,377032520,0.00000787
186,151626,0.407,56860,0.006693,1895325,0.001065,379065041,0.00000786
187,152439,0.3885,57165,0.006537,1905488,0.001066,381097561,0.00000785
188,153252,0.401,57470,0.006385,1915650,0.001066,383130081,0.00000785
189,154065,0.4165,57774,0.006236,1925813,0.001066,385162602,0.00000784
190,154878,0.406,58079,0.006092,1935976,0.001066,387195122,0.00000783
191,155691,0.417,58384,0.005951,1946138,0.001066,389227642,0.00000782
192,156504,0.388,58689,0.005813,1956301,0.001066,391260163,0.00000782
193,157317,0.4225,58994,0.005679,1966463,0.001066,393292683,0.00000781
194,158130,0.382,59299,0.005548,1976626,0.001066,395325203,0.0000078
195,158943,0.432,59604,0.00542,1986789,0.001066,397357724,0.00000779
196,159756,0.419,59909,0.005296,1996951,0.001067,399390244,0.00000779
197,160569,0.4065,60213,0.005175,2007114,0.001067,401422764,0.00000778
198,161382,0.4165,60518,0.005057,2017276,0.001067,403455285,0.00000777
199,162195,0.429,60823,0.004942,2027439,0.001067,405487805,0.00000776
200,163008,0.41,61128,0.00483,2037602,0.001067,407520325,0.00000775
201,163821,0.3905,61433,0.00472,2047764,0.001067,409552846,0.00000775
202,164634,0.4145,61738,0.004614,2057927,0.001067,411585366,0.00000774
203,165447,0.4025,62043,0.00451,2068089,0.001067,413617886,0.00000773
204,166260,0.4035,62348,0.00441,2078252,0.001067,415650407,0.00000772
205,167073,0.4155,62652,0.004311,2088415,0.001067,417682927,0.00000771
206,167886,0.4075,62957,0.004216,2098577,0.001067,419715447,0.0000077
207,168699,0.3985,63262,0.004123,2108740,0.001067,421747967,0.00000769
208,169512,0.4175,63567,0.004032,2118902,0.001067,423780488,0.00000769
209,170325,0.4145,63872,0.003944,2129065,0.001067,425813008,0.00000768
210,171138,0.386,64177,0.003858,2139228,0.001067,427845528,0.00000767
211,171951,0.421,64482,0.003774,2149390,0.001067,429878049,0.00000766
212,172764,0.386,64787,0.003693,2159553,0.001067,431910569,0.00000765
213,173577,0.428,65091,0.003613,2169715,0.001067,433943089,0.00000764
214,174390,0.388,65396,0.003536,2179878,0.001067,435975610,0.00000763
215,175203,0.4255,65701,0.003461,2190041,0.001067,438008130,0.00000762
216,176016,0.407,66006,0.003388,2200203,0.001067,440040650,0.00000761
217,176829,0.375,66311,0.003316,2210366,0.001067,442073171,0.0000076
218,177642,0.402,66616,0.003247,2220528,0.001067,444105691,0.00000759
219,178455,0.408,66921,0.003179,2230691,0.001067,446138211,0.00000759
220,179268,0.382,67226,0.003114,2240854,0.001067,448170732,0.00000758
221,180081,0.3975,67530,0.00305,2251016,0.001067,450203252,0.00000757
222,180894,0.394,67835,0.002987,2261179,0.001067,452235772,0.00000756
223,181707,0.3905,68140,0.002926,2271341,0.001067,454268293,0.00000755
224,182520,0.38,68445,0.002867,2281504,0.001067,456300813,0.00000754
225,183333,0.3735,68750,0.002809,2291667,0.001067,458333333,0.00000753
226,184146,0.3785,69055,0.002753,2301829,0.001066,460365854,0.00000752
227,184959,0.375,69360,0.002698,2311992,0.001066,462398374,0.00000751
228,185772,0.3685,69665,0.002645,2322154,0.001066,464430894,0.0000075
229,186585,0.3565,69970,0.002592,2332317,0.001066,466463415,0.00000749
230,187398,0.3405,70274,0.002542,2342480,0.001066,468495935,0.00000748
231,188211,0.361,70579,0.002492,2352642,0.001066,470528455,0.00000747
232,189024,0.3755,70884,0.002444,2362805,0.001066,472560976,0.00000746
233,189837,0.3635,71189,0.002396,2372967,0.001066,474593496,0.00000745
234,190650,0.371,71494,0.00235,2383130,0.001066,476626016,0.00000744
235,191463,0.3495,71799,0.002305,2393293,0.001066,478658537,0.00000743
236,192276,0.36,72104,0.002261,2403455,0.001066,480691057,0.00000742
237,193089,0.3345,72409,0.002219,2413618,0.001066,482723577,0.00000741
238,193902,0.35,72713,0.002177,2423780,0.001065,484756098,0.0000074
239,194715,0.355,73018,0.002136,2433943,0.001065,486788618,0.00000739
240,195528,0.337,73323,0.002096,2444106,0.001065,488821138,0.00000738
241,196341,0.314,73628,0.002057,2454268,0.001065,490853659,0.00000737
242,197154,0.3265,73933,0.002019,2464431,0.001065,492886179,0.00000736
243,197967,0.343,74238,0.001982,2474593,0.001065,494918699,0.00000735
244,198780,0.346,74543,0.001945,2484756,0.001065,496951220,0.00000734
245,199593,0.3175,74848,0.00191,2494919,0.001065,498983740,0.00000733
246,200407,0.3315,75152,0.001875,2505081,0.001064,501016260,0.00000732
247,201220,0.331,75457,0.001841,2515244,0.001064,503048780,0.00000731
248,202033,0.3245,75762,0.001808,2525407,0.001064,505081301,0.0000073
249,202846,0.3355,76067,0.001775,2535569,0.001064,507113821,0.00000729
250,203659,0.3245,76372,0.001743,2545732,0.001064,509146341,0.00000728
251,204472,0.3085,76677,0.001712,2555894,0.001064,511178862,0.00000727
252,205285,0.3175,76982,0.001681,2566057,0.001064,513211382,0.00000726
253,206098,0.3115,77287,0.001651,2576220,0.001064,515243902,0.00000725
254,206911,0.301,77591,0.001622,2586382,0.001063,517276423,0.00000724
255,207724,0.31,77896,0.001594,2596545,0.001063,519308943,0.00000723
256,208537,0.2935,78201,0.001565,2606707,0.001063,521341463,0.00000722
257,209350,0.278,78506,0.001538,2616870,0.001063,523373984,0.0000072
258,210163,0.3,78811,0.001511,2627033,0.001063,525406504,0.00000719
259,210976,0.312,79116,0.001485,2637195,0.001063,527439024,0.00000718
260,211789,0.305,79421,0.001459,2647358,0.001062,529471545,0.00000717
261,212602,0.2735,79726,0.001434,2657520,0.001062,531504065,0.00000716
262,213415,0.2835,80030,0.001409,2667683,0.001062,533536585,0.00000715
263,214228,0.266,80335,0.001384,2677846,0.001062,535569106,0.00000714
264,215041,0.274,80640,0.001361,2688008,0.001062,537601626,0.00000713
265,215854,0.29,80945,0.001337,2698171,0.001062,539634146,0.00000712
266,216667,0.2535,81250,0.001314,2708333,0.001062,541666667,0.00000711
267,217480,0.2765,81555,0.001292,2718496,0.001061,543699187,0.0000071
268,218293,0.267,81860,0.00127,2728659,0.001061,545731707,0.00000709
269,219106,0.265,82165,0.001248,2738821,0.001061,547764228,0.00000708
270,219919,0.2885,82470,0.001227,2748984,0.001061,549796748,0.00000707
271,220732,0.275,82774,0.001206,2759146,0.001061,551829268,0.00000706
272,221545,0.2715,83079,0.001186,2769309,0.001061,553861789,0.00000705
273,222358,0.259,83384,0.001166,2779472,0.00106,555894309,0.00000704
274,223171,0.263,83689,0.001146,2789634,0.00106,557926829,0.00000703
275,223984,0.2755,83994,0.001127,2799797,0.00106,559959350,0.00000702
276,224797,0.2665,84299,0.001108,2809959,0.00106,561991870,0.00000701
277,225610,0.257,84604,0.00109,2820122,0.00106,564024390,0.000007
278,226423,0.2325,84909,0.001072,2830285,0.001059,566056911,0.00000699
279,227236,0.226,85213,0.001054,2840447,0.001059,568089431,0.00000698
280,228049,0.2325,85518,0.001036,2850610,0.001059,570121951,0.00000697
281,228862,0.232,85823,0.001019,2860772,0.001059,572154472,0.00000696
282,229675,0.2285,86128,0.001002,2870935,0.001059,574186992,0.00000695
283,230488,0.216,86433,0.0009859,2881098,0.001059,576219512,0.00000694
284,231301,0.2385,86738,0.0009697,2891260,0.001058,578252033,0.00000693
285,232114,0.2295,87043,0.0009538,2901423,0.001058,580284553,0.00000692
286,232927,0.22,87348,0.0009382,2911585,0.001058,582317073,0.0000069
287,233740,0.2225,87652,0.0009229,2921748,0.001058,584349593,0.00000689
288,234553,0.2195,87957,0.0009079,2931911,0.001058,586382114,0.00000688
289,235366,0.2175,88262,0.0008932,2942073,0.001057,588414634,0.00000687
290,236179,0.2445,88567,0.0008788,2952236,0.001057,590447154,0.00000686
291,236992,0.208,88872,0.0008646,2962398,0.001057,592479675,0.00000685
292,237805,0.2175,89177,0.0008507,2972561,0.001057,594512195,0.00000684
293,238618,0.222,89482,0.000837,2982724,0.001057,596544715,0.00000683
294,239431,0.2265,89787,0.0008236,2992886,0.001057,598577236,0.00000682
295,240244,0.186,90091,0.0008105,3003049,0.001056,600609756,0.00000681
296,241057,0.197,90396,0.0007976,3013211,0.001056,602642276,0.0000068
297,241870,0.206,90701,0.0007849,3023374,0.001056,604674797,0.00000679
298,242683,0.192,91006,0.0007725,3033537,0.001056,606707317,0.00000678
299,243496,0.1935,91311,0.0007603,3043699,0.001056,608739837,0.00000677
300,244309,0.1885,91616,0.0007483,3053862,0.001055,610772358,0.00000676
301,245122,0.192,91921,0.0007366,3064024,0.001055,612804878,0.00000675
302,245935,0.188,92226,0.000725,3074187,0.001055,614837398,0.00000674
303,246748,0.1825,92530,0.0007137,3084350,0.001055,616869919,0.00000673
304,247561,0.194,92835,0.0007026,3094512,0.001055,618902439,0.00000672
305,248374,0.185,93140,0.0006917,3104675,0.001054,620934959,0.00000671
306,249187,0.175,93445,0.000681,3114837,0.001054,622967480,0.0000067
307,250000,0.1835,93750,0.0006705,3125000,0.001054,625000000,0.00000669
308,250813,0.178,94055,0.0006602,3135163,0.001054,627032520,0.00000668
309,251626,0.1735,94360,0.00065,3145325,0.001054,629065041,0.00000667
310,252439,0.1885,94665,0.0006401,3155488,0.001053,631097561,0.00000666
311,253252,0.162,94970,0.0006303,3165650,0.001053,633130081,0.00000665
312,254065,0.176,95274,0.0006208,3175813,0.001053,635162602,0.00000664
313,254878,0.165,95579,0.0006114,3185976,0.001053,637195122,0.00000663
